Total Generations #1, Epoch #1, Generation #1: Best – 90.4000, Average – 88.0835
Total Generations #2, Epoch #1, Generation #2: Best – 90.6000, Average – 88.2704
Total Generations #3, Epoch #1, Generation #3: Best – 91.1000, Average – 88.7626
Total Generations #4, Epoch #1, Generation #4: Best – 91.1000, Average – 88.8739
Total Generations #5, Epoch #1, Generation #5: Best – 91.4000, Average – 88.9930
Total Generations #6, Epoch #1, Generation #6: Best – 91.4000, Average – 89.1948
Total Generations #7, Epoch #1, Generation #7: Best – 91.4000, Average – 89.2287
Total Generations #8, Epoch #1, Generation #8: Best – 91.4000, Average – 89.2617
Total Generations #9, Epoch #1, Generation #9: Best – 91.4000, Average – 89.1739
Total Generations #10, Epoch #1, Generation #10: Best – 91.5000, Average – 89.1765
Total Generations #11, Epoch #1, Generation #11: Best – 92.0000, Average – 89.1522
Total Generations #12, Epoch #1, Generation #12: Best – 92.0000, Average – 89.2809
Total Generations #13, Epoch #1, Generation #13: Best – 92.0000, Average – 89.2061
Total Generations #14, Epoch #1, Generation #14: Best – 92.0000, Average – 89.3557
Total Generations #15, Epoch #1, Generation #15: Best – 91.9000, Average – 89.4591
Total Generations #16, Epoch #1, Generation #16: Best – 91.9000, Average – 89.5009
Total Generations #17, Epoch #1, Generation #17: Best – 91.9000, Average – 89.4209
Total Generations #18, Epoch #1, Generation #18: Best – 91.9000, Average – 89.5852
Total Generations #19, Epoch #1, Generation #19: Best – 91.9000, Average – 89.4774
